dataset_id,creator,event_date,pub_date,reference,country,state_province,municipality,verbatim_site,decimal_latitude,decimal_longitude,north_bounding_coordinate,south_bounding_coordinate,verbatim_coordinates,minimum_elevation_in_meters,max_elevation_in_meters,verbatim_elevation,organism_quantity_plants,identification_qualifier_plants,scientific_name_plants,class_plants,family_plants,genus_plants,specific_epithet_plants,infraspecific_epithet_plants,taxon_rank_plants,taxon_remarks_plants,establishment_means_plants,habit_plants,self_incompatability_plants,organism_quantity_animals,identification_qualifier_animals,scientific_name_animals,class_animals,order_animals,family_animals,subfamily_animals,genus_animals,specific_epithet_animals,taxon_rank_animals,taxon_remarks_animals,establishment_means_animals,interaction_type,interaction_type_iri,resource_collected,sampling_protocol,sample_size_value,sampling_size_unit
2,Giselle Muschett,NA,2002,"Aizen et al. 2002. Historia natural y conservacion de los mutualismos planta-animal del bosque templado de Sudamerica austral. Revista Chilena de Historia Natural, 75, 79-97. doi: 10.4067/S0716-078X2002000100008",Chile,Los Lagos,NA,"Chiloe Island, X Region",-41.945,-73.576,-40,-42,40°- 42° S,NA,NA,NA,22,NA,Myrceugenia ovata,Magnoliopsida,Myrtaceae,Myrceugenia,ovata,NA,species,NA,native,NA,NA,15,NA,Bombus dahlbomii,Insecta,Hymenoptera,Apidae,NA,Bombus,dahlbomii,species,NA,NA,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,NA,NA,NA,NA
3,Giselle Muschett,NA,2018,"Aizen et al. 2018. Coordinated species importation policies are needed to reduce serious invasions globally: The case of alien bumblebees in South America. Journal of Applied Ecology, 56, 100–106. doi: 10.1111/1365-2664.13121",Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,NA,class,NA,NA,NA,NA,NA,NA,Bombus dahlbomii,Insecta,Hymenoptera,Apidae,NA,Bombus,dahlbomii,species,NA,native,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,NA,NA,NA,NA
9,Giselle Muschett,2014-09/2015-03,2016,"Arismendi et al. 2016. Molecular detection of the tracheal mite Locustacarus buchneri in native and non-native bumble bees in Chile. Insectes Sociaux, 63, 629–633. doi: 10.1007/s00040-016-0502-2",Chile,NA,NA,"Southern Chile, RM to Los Rios Region",-38.454,-73,-36,-40,"40ºS - 36ºS, 73ºW",NA,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,NA,class,NA,NA,NA,NA,NA,NA,Bombus dahlbomii,Insecta,Hymenoptera,Apidae,NA,Bombus,dahlbomii,species,NA,native,has flowers visited by,http://purl.obolibrary.org/obo/RO_0002623,nectar,NA,NA,NA
17,Giselle Muschett,2005-09/2006-03,2012,"Chalcoff et al . 2012. Erosion of a pollination mutualism along an environmental gradient in a south Andean treelet, Embothrium coccineum (Proteaceae). Oikos, 121, 471-480. doi: 10.1111/j.1600-0706.2011.19663.x",Chile,Los Rios,NA,"Estación Biologica, XIV Region",-41.88,-73.66666667,NA,NA,"41º53'S, 73º40'W ",12.1,12.1,12.1,NA,NA,Embothrium coccineum,Magnoliopsida,Proteaceae,Embothrium,coccineum,NA,species,NA,native,NA,NA,NA,NA,Bombus dahlbomii,Insecta,Hymenoptera,Apidae,NA,Bombus,dahlbomii,species,NA,native,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,nectar,NA,NA,NA
22,Giselle Muschett,NA,2015,Diaz Tavie et al 2015. Nuevos antecedentes acerca de la presencia de Bombus dahlbomii Geruin-Menville (Hymenoptera: Apidae) en la isla Grande de Tierra del Fuego. Anales del Instituto de la Patagonia 43:171–174.,Chile,Magallanes,NA,Isla Grande de Tierra del Fuego,-52.042,-69.72,52.494,54.042,"52°29’ 39"" S, 69°26’ 48 "" W - 54° 02' 31"" S, 70° 03' 15"" W ",NA,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,NA,class,NA,NA,NA,NA,NA,NA,Bombus dahlbomii,Insecta,Hymenoptera,Apidae,NA,Bombus,dahlbomii,species,NA,native,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,NA,NA,NA,NA
23,Giselle Muschett,NA,2001,"Estay et al. 2001b. Evaluación de Bombus dahlbomii (GUER.) como agente polinizador de flores de tomate Lycopersicon esculentum (MILL) bajo condiciones de invernadero . Agricultura Tecnica Chile, 61(2), 113-119. doi: 10.4067/S0365-28072001000200001",Chile,Bio Bio,NA,"Fundo Santa Rosa, VIII Region",-36.53,-71.91666667,NA,NA,"36º 32’ S, 71º 55’ W",NA,NA,NA,1,NA,Solanum lycopersicum,Magnoliopsida,Solanaceae,Solanum,lycopersicum,NA,species,Lycopersicon esculentum,cultivated,NA,NA,1,NA,Bombus dahlbomii,Insecta,Hymenoptera,Apidae,NA,Bombus,dahlbomii,species,NA,native,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,NA,NA,NA,NA
23,Giselle Muschett,NA,2001,"Estay et al. 2001b. Evaluación de Bombus dahlbomii (GUER.) como agente polinizador de flores de tomate Lycopersicon esculentum (MILL) bajo condiciones de invernadero . Agricultura Tecnica Chile, 61(2), 113-119. doi: 10.4067/S0365-28072001000200001",Chile,Metropolitana de Santiago,NA,"INIA, CRI La Platina",-33.57,-70.63333333,NA,NA,"33º 34’ S, 70º 38’ W",NA,NA,NA,NA,NA,Solanum lycopersicum,Magnoliopsida,Solanaceae,Solanum,lycopersicum,NA,species,Lycopersicon esculentum,cultivated,NA,NA,NA,NA,Bombus dahlbomii,Insecta,Hymenoptera,Apidae,NA,Bombus,dahlbomii,species,NA,native,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,NA,NA,NA,NA
25,Giselle Muschett,2017,2017,"FAO (Organizacion de las Naciones Unidas para la Alimentacion y la Agricultura). 2017. Estado del arte del servicio ecosistemico de la polinizacion en Chile-Paraguay Y Peru. Page 118. FAO, Santiago, Chile.",Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,NA,class,NA,NA,NA,NA,NA,NA,Bombus dahlbomii,Insecta,Hymenoptera,Apidae,NA,Bombus,dahlbomii,species,NA,NA,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,NA,NA,NA,NA
30,Giselle Muschett,2010-12/2011-01,2012,"Gomez et al . 2012. Pollination and breeding system in Adesmia bijuga Phil. (Fabaceae), a critically endangered species in Central Chile. Gayana Botanica, 69(2), 286-295. doi: 10.4067/S0717-66432012000200008",Chile,Maule,NA,"Fundo San Pedro, Maule Region, VII Region",-35.49,-72.37972222,NA,NA,"35°29’31”S, 72°22’47”W",NA,NA,NA,1,NA,Adesmia bijuga,Magnoliopsida,Fabaceae,Adesmia,bijuga,NA,species,NA,native,NA,NA,5,NA,Bombus dahlbomii,Insecta,Hymenoptera,Apidae,NA,Bombus,dahlbomii,species,NA,native,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,NA,NA,NA,NA
45,Giselle Muschett,NA,2015,"Monzon. 2015. Guia de Abejas de la Region del Maule. Abejas native de Chile, 37pp.",Chile,Maule,NA,"Maule, VII Region",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,NA,class,NA,NA,NA,NA,8,NA,Bombus dahlbomii,Insecta,Hymenoptera,Apidae,NA,Bombus,dahlbomii,species,NA,native,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,NA,NA,NA,NA
