family_plants,n_registros
Fabaceae,16
Phrymaceae,15
Myrtaceae,11
Asteraceae,8
Compositae,7
Solanaceae,6
Violaceae,5
Ericaceae,4
Boraginaceae,3
Cunoniaceae,3
Lamiaceae,3
Loasaceae,3
Orchidaceae,3
Philesiaceae,3
Rosaceae,3
Alstroemeriaceae,2
Apiaceae,2
Berberidaceae,2
Gesneriaceae,2
Proteaceae,2
Rhamnaceae,2
Scrophulariaceae,2
Brassicaceae,1
Caryophyllaceae,1
Cucurbitaceae,1
Elaeocarpaceae,1
Escalloniaceae,1
Hydrangeaceae,1
Hydrophyllaceae,1
Malvaceae,1
Onagraceae,1
Oxalidaceae,1
Thymelaeaceae,1
Verbenaceae,1
